CUSTOMER_ID,ZIP_CODE,TOTAL_VISITS,TOTAL_SPE0T,AVRG_SPE0T_PER_VISIT,HAS_CREDIT_CARD,PSWEATERS,PK0IT_TOPS,PK0IT_DRES,PBLOUSES,PJACKETS,PCAR_P0TS,PCAS_P0TS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELR1,PFASHIO0,PLEGWEAR,PCOLLSP0D,AMSPE0D,PSSPE0D,CCSPE0D,AXSPE0D,SPE0D_LAST_MO0TH,SPE0D_LAST_3MO0TH,SPE0D_LAST_6MO0TH,SPE0T_LAST_1EAR,GMP,PROMOS_O0_FILE,DA1S_O0_FILE,FREQ_DA1S,MARKDOW0,PRODUCT_CLASSES,COUPO0S,ST1LES,STORES,STORELO1,VALPHO0,WEB,MAILED,RESPO0DED,RESPO0SERATE,LTFREDA1,CLUST1PE,PERCRET,RESP
9955600066402,1001,2,368.46,184.23,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,368.46,0,0,0,0,0,0.6,17,666,333,0.08,9,1,11,1,7,0,0,5,0,0,111,10,0,0
9955600073501,1028,4,258,64.5,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,258,0,138,55.99,258,0,0.54,14,696,174,0.33,6,0,14,1,7,1,0,4,2,50,43.5,10,0.03,1
9955600076313,1056,2,77,38.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,39,0.62,10,343,171.5,0.11,1,0,2,1,7,0,0,4,0,0,68.6,16,0,0
9955600078045,1118,8,846.06,105.75,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,846.06,0,104.94,0,373.87,166.25,0.43,24,701,87.62,0.29,15,3,35,1,7,1,0,9,6,66.67,26.96,10,0,0
9955600078517,1107,1,87.44,87.44,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,87.44,0,87.44,0,87.44,0,0.22,0,49,49,0.42,4,0,8,1,7,1,0,0,0,0,24.5,20,0,0
9955600079035,1106,2,120,60,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58,62,0,62,62,120,0,0.47,3,145,72.5,0.41,3,0,5,2,7,1,0,0,0,0,72.5,3,0,0
9955600088723,1118,1,782.08,782.08,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,782.08,0,0,0,782.08,0,0.66,15,145,145,0.1,4,1,13,1,7,1,0,4,0,0,36.25,10,0,0
9955600089274,1106,1,79,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.56,6,447,447,0.19,1,0,2,1,7,1,0,4,1,25,149,10,0,0
9955600093031,1104,1,318.5,318.5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,318.5,0,0,0,0,0,0.68,14,264,264,0.07,5,0,6,1,7,0,0,3,0,0,264,23,0,0
9955600093053,1104,12,1663.46,138.62,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,922.36,741.1,536.57,237.18,936.97,347.99,0.53,26,684,57,0.23,22,1,77,2,7,1,0,11,7,63.64,17.53,23,0,1
9955600099772,1201,7,632.08,90.29,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,486.16,145.92,0,0,116,0,0.53,25,698,99.71,0.24,11,2,36,3,7,1,1,8,2,25,26.84,23,0,1
9955600102456,1267,1,172.99,172.99,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,160.99,12,0,0,0,172.99,0,0.65,3,118,118,0.04,4,0,5,2,2869,1,0,0,0,0,59,16,0,0
9955600111322,1331,5,106.38,21.27,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,75.99,30.39,0,65.39,0,106.38,0,0.53,15,369,73.8,0.14,6,0,6,3,2611,0,0,8,2,25,52.71,31,1.48,0
9955600113010,1373,1,87.48,87.48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49.98,37.5,0,0,0,0,0,0.31,3,276,276,0.29,2,0,4,2,2554,1,0,0,0,0,138,16,0,0
9955600113573,1452,4,491.17,122.79,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,469.42,21.75,0,96.95,0,159.2,0,0.48,16,352,88,0.3,7,1,18,2,2638,1,0,4,1,25,32,16,0,0
